puzzle_id,themes
6kmOi,"[""master"",""short"",""masterVsMaster"",""endgame"",""mateIn2""]"
6vVFk,"[""veryLong"",""middlegame"",""queensideAttack"",""crushing"",""attraction""]"
6yHR8,"[""mateIn2"",""middlegame"",""short"",""sacrifice"",""kingsideAttack""]"
7B2f5,"[""oneMove"",""mateIn1"",""middlegame""]"
7Qf3J,"[""short"",""epauletteMate"",""endgame"",""mateIn2""]"
7X3Yu,"[""endgame"",""oneMove"",""mateIn1"",""killBoxMate""]"
7bXYU,"[""short"",""masterVsMaster"",""advantage"",""master"",""middlegame""]"
7f8Iy,"[""endgame"",""attraction"",""long"",""mateIn3"",""sacrifice"",""pin""]"
86f3H,"[""deflection"",""endgame"",""master"",""short"",""advantage""]"
8RR55,"[""mateIn1"",""oneMove"",""opening""]"
952yN,"[""endgame"",""short"",""crushing"",""rookEndgame"",""skewer""]"
9SuAQ,"[""oneMove"",""mateIn1"",""endgame""]"
9jzNn,"[""endgame"",""short"",""crushing"",""fork""]"
9zCmF,"[""crushing"",""short"",""middlegame""]"
A1U3K,"[""endgame"",""long"",""crushing""]"
AMjSD,"[""veryLong"",""endgame"",""advancedPawn"",""crushing"",""quietMove"",""promotion"",""pawnEndgame""]"
AdQZR,"[""middlegame"",""advantage"",""long""]"
Ai5Yi,"[""mateIn2"",""middlegame"",""short"",""queensideAttack""]"
Aq0o8,"[""middlegame"",""advantage"",""short""]"
AvPXe,"[""middlegame"",""short"",""advantage"",""fork""]"
B0mic,"[""endgame"",""master"",""crushing"",""long"",""hangingPiece""]"
BDit5,"[""middlegame"",""crushing"",""fork"",""long"",""sacrifice""]"
BF8QP,"[""short"",""crushing"",""endgame"",""master""]"
BVLNS,"[""endgame"",""advancedPawn"",""oneMove"",""mateIn1"",""knightEndgame""]"
BlVkf,"[""master"",""short"",""endgame"",""mateIn2""]"
Bxqum,"[""endgame"",""master"",""short"",""advantage"",""hangingPiece""]"
C3PGg,"[""short"",""crushing"",""fork"",""master"",""middlegame""]"
C8eQK,"[""middlegame"",""advantage"",""capturingDefender"",""short""]"
C9cLm,"[""middlegame"",""short"",""advantage"",""pin""]"
CGWRu,"[""endgame"",""master"",""short"",""crushing"",""skewer""]"
CL3UY,"[""short"",""endgame"",""mateIn2""]"
CMYfV,"[""crushing"",""long"",""hangingPiece"",""endgame""]"
CN0ot,"[""endgame"",""master"",""short"",""masterVsMaster"",""crushing"",""pawnEndgame""]"
CSLNW,"[""crushing"",""short"",""middlegame""]"
CYfEZ,"[""opening"",""advantage"",""long""]"
CcRwr,"[""short"",""advantage"",""capturingDefender"",""middlegame""]"
CwQpf,"[""middlegame"",""queensideAttack"",""long"",""mateIn3"",""sacrifice""]"
CyCyH,"[""advancedPawn"",""advantage"",""short"",""endgame""]"
D1IH3,"[""short"",""crushing"",""fork"",""opening""]"
D80VP,"[""short"",""endgame"",""mateIn2""]"
Dp1HY,"[""exposedKing"",""veryLong"",""middlegame"",""mateIn4""]"
DyFEn,"[""short"",""advantage"",""master"",""middlegame""]"
E41rB,"[""oneMove"",""mateIn1"",""middlegame""]"
EEsKJ,"[""mateIn2"",""middlegame"",""short"",""attraction"",""sacrifice"",""kingsideAttack""]"
ELqBj,"[""middlegame"",""crushing"",""short""]"
EU13H,"[""middlegame"",""crushing"",""short""]"
EZjDm,"[""middlegame"",""pin"",""crushing"",""short""]"
EecUe,"[""endgame"",""short"",""crushing"",""discoveredAttack""]"
Eeou2,"[""endgame"",""crushing"",""rookEndgame"",""long""]"
Eko2n,"[""long"",""crushing"",""master"",""endgame""]"
Eoyxk,"[""veryLong"",""endgame"",""advancedPawn"",""crushing"",""rookEndgame"",""quietMove""]"
F2t0s,"[""endgame"",""master"",""short"",""masterVsMaster"",""crushing""]"
F5sUd,"[""advantage"",""hangingPiece"",""short"",""middlegame""]"
F6hIj,"[""middlegame"",""advantage"",""fork"",""long"",""sacrifice""]"
FBAiq,"[""middlegame"",""short"",""queensideAttack"",""advantage""]"
FBMPP,"[""oneMove"",""mateIn1"",""master"",""middlegame""]"
FDiB2,"[""middlegame"",""crushing"",""long""]"
Fo5m0,"[""oneMove"",""mateIn1"",""middlegame""]"
G0ulI,"[""endgame"",""short"",""crushing"",""fork""]"
G33om,"[""swallowstailMate"",""short"",""endgame"",""queenEndgame"",""mateIn2""]"
G4EGw,"[""endgame"",""crushing"",""short""]"
GDy9X,"[""middlegame"",""short"",""advantage""]"
GG1bv,"[""middlegame"",""short"",""advantage"",""trappedPiece""]"
GVlkX,"[""short"",""endgame"",""mateIn2""]"
GeKNN,"[""middlegame"",""oneMove"",""mateIn1"",""attackingF2F7""]"
Goadf,"[""middlegame"",""short"",""crushing""]"
H2IS1,"[""short"",""advantage"",""fork"",""opening""]"
H3eBd,"[""crushing"",""rookEndgame"",""short"",""endgame""]"
HKckl,"[""endgame"",""advancedPawn"",""short"",""crushing"",""pawnEndgame""]"
HLnRz,"[""endgame"",""short"",""crushing""]"
HP4Ba,"[""middlegame"",""hangingPiece"",""short"",""advantage""]"
HVNru,"[""endgame"",""crushing"",""attraction"",""fork"",""long"",""sacrifice""]"
HauTR,"[""crushing"",""short"",""middlegame""]"
Hhsw3,"[""mateIn2"",""middlegame"",""short""]"
Hnc5h,"[""middlegame"",""short"",""crushing""]"
Hoj3V,"[""middlegame"",""long"",""crushing""]"
HzQiL,"[""oneMove"",""mateIn1"",""middlegame""]"
I6oxB,"[""endgame"",""master"",""short"",""crushing"",""fork""]"
I8C71,"[""endgame"",""short"",""advantage"",""fork""]"
IBHlL,"[""endgame"",""advantage"",""short"",""pin""]"
IGsKQ,"[""advantage"",""short"",""endgame""]"
IMgWU,"[""crushing"",""quietMove"",""short"",""endgame""]"
J0De3,"[""deflection"",""endgame"",""master"",""short"",""advantage""]"
J1whz,"[""mateIn1"",""oneMove"",""middlegame""]"
J4IVc,"[""short"",""advantage"",""middlegame""]"
J5fka,"[""short"",""xRayAttack"",""sacrifice"",""endgame"",""mateIn2""]"
J8NLO,"[""short"",""endgame"",""mateIn2""]"
JbGGn,"[""exposedKing"",""veryLong"",""middlegame"",""queensideAttack"",""crushing""]"
Jcv7e,"[""deflection"",""endgame"",""short"",""advantage""]"
JnFae,"[""crushing"",""veryLong"",""pawnEndgame"",""endgame""]"
Jwja0,"[""endgame"",""attraction"",""long"",""mateIn3""]"
K91B7,"[""middlegame"",""oneMove"",""mateIn1""]"
KBIvx,"[""middlegame"",""long"",""fork"",""advantage""]"
KBzRa,"[""short"",""sacrifice"",""endgame"",""mateIn2""]"
KHCzT,"[""endgame"",""crushing"",""fork"",""long""]"
KQVDR,"[""mateIn1"",""oneMove"",""endgame""]"
KTnwQ,"[""middlegame"",""long"",""mateIn3"",""sacrifice"",""kingsideAttack"",""pillsburysMate""]"
KVqUf,"[""endgame"",""operaMate"",""long"",""mateIn3""]"
KogpH,"[""short"",""advantage"",""fork"",""middlegame""]"
L2OaU,"[""deflection"",""endgame"",""advantage"",""long"",""pin""]"
LAwDb,"[""exposedKing"",""endgame"",""crushing"",""long""]"
LCrMQ,"[""mateIn1"",""oneMove"",""middlegame""]"
LGKX1,"[""kingsideAttack"",""crushing"",""short"",""middlegame""]"
LHnYs,"[""middlegame"",""crushing"",""long"",""discoveredAttack"",""defensiveMove""]"
LXAyI,"[""exposedKing"",""middlegame"",""long"",""mateIn3""]"
LjgI2,"[""endgame"",""short"",""crushing"",""skewer"",""bishopEndgame""]"
LyelC,"[""middlegame"",""short"",""crushing""]"
M6AFv,"[""veryLong"",""endgame"",""crushing"",""pin""]"
MBJW7,"[""middlegame"",""short"",""advantage"",""fork""]"
MRE2p,"[""crushing"",""long"",""middlegame""]"
Mckvd,"[""endgame"",""short"",""advantage"",""skewer""]"
Mg49G,"[""short"",""endgame"",""mateIn2""]"
NBYoC,"[""middlegame"",""long"",""advantage"",""master""]"
NCAjA,"[""exposedKing"",""endgame"",""advancedPawn"",""master"",""crushing"",""rookEndgame"",""long""]"
NDeE8,"[""middlegame""]"
NKbHw,"[""endgame"",""short"",""advantage"",""hangingPiece""]"
NOkt8,"[""endgame"",""advantage"",""fork"",""long"",""defensiveMove""]"
NXeei,"[""middlegame"",""advantage"",""long""]"
NbH17,"[""endgame"",""advantage"",""short""]"
NpCGR,"[""middlegame"",""short"",""advantage"",""kingsideAttack""]"
OOjfl,"[""hookMate"",""endgame"",""long"",""mateIn3""]"
OPK91,"[""long"",""advantage"",""endgame""]"
OSP4s,"[""mateIn2"",""middlegame"",""short"",""sacrifice"",""triangleMate""]"
OVOZy,"[""exposedKing"",""endgame"",""crushing"",""long"",""pawnEndgame""]"
OVdd8,"[""mateIn2"",""advancedPawn"",""middlegame"",""short""]"
OnUWM,"[""short"",""masterVsMaster"",""advantage"",""master"",""middlegame""]"
Os8Mm,"[""endgame"",""short"",""advantage"",""skewer""]"
OtT9k,"[""short"",""advantage"",""endgame""]"
P2SU6,"[""deflection"",""endgame"",""master"",""short"",""advantage"",""kingsideAttack""]"
PLGo6,"[""deflection"",""endgame"",""crushing"",""attraction"",""long""]"
PMvhc,"[""hangingPiece"",""short"",""advantage"",""middlegame""]"
PqWfz,"[""advantage"",""fork"",""long"",""middlegame""]"
PwThN,"[""crushing"",""long"",""middlegame""]"
Q0KfA,"[""crushing"",""short"",""endgame""]"
QWrHc,"[""endgame"",""crushing"",""short""]"
QxxRt,"[""endgame"",""mateIn1"",""oneMove""]"
R1N0C,"[""short"",""pin"",""crushing"",""endgame""]"
R3hah,"[""short"",""endgame"",""mateIn2""]"
R8luC,"[""oneMove"",""mateIn1"",""middlegame""]"
RAJ7P,"[""middlegame"",""short"",""advantage"",""intermezzo""]"
RDzGz,"[""middlegame"",""short"",""advantage"",""master""]"
RO5Df,"[""hangingPiece"",""long"",""advantage"",""middlegame""]"
RRaHI,"[""endgame"",""short"",""advantage"",""pin""]"
RaI26,"[""endgame"",""crushing"",""long"",""discoveredAttack""]"
RjMT5,"[""long"",""crushing"",""endgame""]"
RpABF,"[""middlegame"",""short"",""crushing"",""discoveredAttack"",""defensiveMove""]"
RrmL9,"[""deflection"",""endgame"",""master"",""short"",""masterVsMaster"",""advantage""]"
Rs22L,"[""master"",""short"",""attraction"",""sacrifice"",""anastasiaMate"",""endgame"",""mateIn2""]"
RvbyB,"[""endgame"",""crushing"",""rookEndgame"",""long""]"
S60u1,"[""endgame"",""advancedPawn"",""crushing"",""long"",""promotion"",""discoveredAttack""]"
SQxjY,"[""middlegame"",""queensideAttack"",""long"",""mateIn3""]"
SXjMC,"[""mateIn2"",""middlegame"",""short"",""sacrifice""]"
SZvO9,"[""short"",""endgame"",""mateIn2""]"
SodwE,"[""exposedKing"",""veryLong"",""endgame"",""crushing"",""kingsideAttack""]"
SqJ3F,"[""middlegame"",""short"",""fork"",""crushing""]"
SwySC,"[""mateIn2"",""middlegame"",""short"",""kingsideAttack"",""discoveredAttack"",""pin""]"
T6GvR,"[""advantage"",""short"",""middlegame"",""master""]"
T7B9z,"[""middlegame"",""crushing"",""short""]"
TB5bS,"[""crushing"",""short"",""middlegame""]"
THHG6,"[""endgame"",""crushing"",""fork"",""long""]"
TJDHk,"[""mateIn2"",""middlegame"",""short"",""intermezzo""]"
TOEg6,"[""oneMove"",""mateIn1"",""middlegame""]"
TPe2C,"[""advantage"",""short"",""middlegame""]"
TihIl,"[""short"",""endgame"",""mateIn2""]"
TjwWh,"[""deflection"",""endgame"",""short"",""crushing"",""rookEndgame""]"
Tm361,"[""middlegame"",""short"",""crushing"",""fork"",""pin""]"
TmQPy,"[""advantage"",""short"",""middlegame""]"
TtFwT,"[""crushing"",""short"",""pawnEndgame"",""endgame""]"
Twj9u,"[""endgame"",""oneMove"",""mateIn1"",""pin""]"
U3nDJ,"[""middlegame"",""advantage"",""fork"",""long""]"
U9Rs3,"[""endgame"",""crushing"",""advancedPawn"",""short""]"
UDGzL,"[""middlegame"",""oneMove"",""mateIn1"",""kingsideAttack""]"
UHTAF,"[""middlegame"",""short"",""crushing"",""fork""]"
ULbd1,"[""mateIn1"",""oneMove"",""endgame""]"
UN7L3,"[""deflection"",""middlegame"",""crushing"",""attraction"",""long"",""pin""]"
UQaXj,"[""middlegame""]"
Ug1U8,"[""oneMove"",""mateIn1"",""endgame""]"
UhT79,"[""endgame"",""short"",""crushing"",""knightEndgame""]"
Ui4bm,"[""endgame""]"
UlTvF,"[""mateIn2"",""middlegame"",""short"",""kingsideAttack""]"
Uwmzm,"[""veryLong"",""endgame"",""advantage"",""fork""]"
VEUWD,"[""middlegame"",""advantage"",""fork"",""long""]"
VFxQ9,"[""short"",""pin"",""endgame"",""mateIn2""]"
VSK5K,"[""short"",""epauletteMate"",""endgame"",""mateIn2""]"
VSe2u,"[""middlegame"",""short"",""advantage"",""discoveredAttack""]"
VbIOn,"[""deflection"",""endgame"",""advantage"",""long""]"
VgSAy,"[""deflection"",""short"",""advantage"",""master"",""middlegame""]"
VkxFM,"[""middlegame"",""long"",""mateIn3"",""sacrifice"",""kingsideAttack"",""discoveredAttack""]"
VzphG,"[""deflection"",""short"",""queenRookEndgame"",""endgame"",""mateIn2""]"
W6nEu,"[""exposedKing"",""middlegame"",""advantage"",""fork"",""long""]"
WeNKn,"[""advancedPawn"",""short"",""cornerMate"",""endgame"",""mateIn2""]"
WgUbI,"[""endgame"",""crushing"",""long"",""pin""]"
Wj3w1,"[""crushing"",""short"",""endgame""]"
Wn46e,"[""advantage"",""long"",""middlegame""]"
XJ2n3,"[""middlegame"",""advantage"",""fork"",""long""]"
XMyeB,"[""middlegame"",""oneMove"",""mateIn1"",""cornerMate""]"
XODST,"[""endgame"",""master"",""short"",""crushing"",""knightEndgame""]"
XVC4a,"[""endgame"",""short"",""crushing"",""fork""]"
XYK45,"[""short"",""hangingPiece"",""advantage"",""middlegame""]"
XiVEt,"[""endgame"",""master"",""short"",""crushing""]"
Xp8H1,"[""middlegame"",""advantage"",""short"",""master""]"
YGNI5,"[""endgame"",""advancedPawn"",""crushing"",""rookEndgame"",""long"",""promotion""]"
YHY5k,"[""short"",""advantage"",""opening""]"
YM7hI,"[""endgame"",""advancedPawn"",""master"",""short"",""crushing"",""hangingPiece""]"
YSAsr,"[""mateIn2"",""middlegame"",""short""]"
YcaiA,"[""mateIn2"",""middlegame"",""short"",""fork""]"
Z68rI,"[""middlegame"",""master""]"
Z8AKq,"[""endgame"",""master"",""short"",""crushing"",""pin""]"
ZNyEk,"[""deflection"",""endgame"",""advancedPawn"",""crushing"",""long"",""promotion"",""rookEndgame"",""skewer""]"
ZPGbq,"[""middlegame"",""veryLong"",""crushing"",""pin""]"
Zi3mg,"[""hangingPiece"",""advantage"",""long"",""middlegame""]"
ZzCpJ,"[""veryLong"",""endgame"",""advancedPawn"",""crushing"",""pawnEndgame"",""defensiveMove""]"
aCGzp,"[""endgame"",""crushing"",""queenEndgame"",""short""]"
aIEYW,"[""endgame"",""crushing"",""long""]"
aJy3I,"[""advantage"",""long"",""opening""]"
aY0ZJ,"[""mateIn2"",""middlegame"",""short""]"
aniSu,"[""oneMove"",""mateIn1"",""endgame"",""queenEndgame""]"
arpx6,"[""mateIn1"",""oneMove"",""middlegame""]"
ato2F,"[""exposedKing"",""middlegame"",""advantage"",""fork"",""long""]"
auV9p,"[""endgame"",""short"",""advantage"",""fork""]"
b0hix,"[""short"",""endgame"",""mateIn2""]"
b3kFR,"[""middlegame"",""oneMove"",""hangingPiece"",""mateIn1"",""kingsideAttack""]"
bDwOk,"[""short"",""triangleMate"",""endgame"",""mateIn2""]"
bTvrN,"[""exposedKing"",""endgame"",""long"",""mateIn3""]"
bp8Ay,"[""endgame"",""advantage"",""attraction"",""fork"",""long"",""sacrifice""]"
bwYh5,"[""short"",""endgame"",""mateIn2""]"
c2TLV,"[""endgame"",""advancedPawn"",""advantage"",""rookEndgame"",""long""]"
c7OBp,"[""mateIn1"",""oneMove"",""middlegame""]"
c9KvJ,"[""oneMove"",""mateIn1"",""endgame""]"
cNH70,"[""deflection"",""short"",""crushing"",""opening"",""discoveredAttack"",""attackingF2F7""]"
cU80c,"[""middlegame"",""advantage"",""attraction"",""fork"",""long""]"
cvghY,"[""crushing"",""discoveredAttack"",""long"",""endgame""]"
cyv6g,"[""endgame"",""crushing"",""long"",""rookEndgame"",""skewer""]"
dFsWQ,"[""clearance"",""master"",""short"",""masterVsMaster"",""sacrifice"",""endgame"",""mateIn2""]"
dPnc6,"[""exposedKing"",""endgame"",""long"",""mateIn3""]"
dZD8u,"[""short"",""endgame"",""mateIn2""]"
duyCk,"[""middlegame"",""crushing"",""short""]"
e05J2,"[""advantage"",""fork"",""short"",""endgame""]"
e3LqY,"[""mateIn2"",""middlegame"",""short""]"
eH3NY,"[""mateIn2"",""middlegame"",""short"",""sacrifice""]"
eQ3mK,"[""middlegame"",""advantage"",""fork"",""long""]"
eVcdj,"[""advantage"",""long"",""middlegame""]"
esohl,"[""short"",""epauletteMate"",""endgame"",""mateIn2""]"
etDp4,"[""crushing"",""short"",""middlegame""]"
f73M8,"[""middlegame"",""short"",""crushing"",""intermezzo""]"
fBQ9j,"[""middlegame"",""crushing"",""long"",""kingsideAttack"",""hangingPiece""]"
fDS6W,"[""mateIn2"",""middlegame"",""short""]"
fQSWb,"[""middlegame"",""attraction"",""long"",""mateIn3""]"
fU7AA,"[""short"",""killBoxMate"",""endgame"",""mateIn2""]"
fdCrQ,"[""mateIn2"",""middlegame"",""short""]"
fiIsF,"[""endgame"",""master"",""oneMove"",""mateIn1""]"
ftNbY,"[""short"",""crushing"",""fork"",""opening""]"
gJdPm,"[""middlegame"",""advantage"",""long"",""kingsideAttack""]"
gZclg,"[""endgame"",""advancedPawn"",""short"",""crushing"",""knightEndgame""]"
gg5Ks,"[""endgame"",""short"",""crushing"",""fork""]"
ggubT,"[""endgame"",""master"",""oneMove"",""mateIn1"",""queenRookEndgame""]"
goOcj,"[""veryLong"",""endgame"",""advantage"",""attraction"",""fork""]"
gxUCm,"[""mateIn1"",""oneMove"",""endgame""]"
hCyHT,"[""exposedKing"",""endgame"",""advancedPawn"",""advantage"",""long"",""skewer"",""attraction""]"
hEjF9,"[""crushing"",""fork"",""long"",""opening""]"
hGeej,"[""short"",""crushing"",""master"",""middlegame""]"
hR2Gr,"[""endgame"",""advancedPawn"",""short"",""discoveredAttack"",""bishopEndgame"",""discoveredCheck"",""crushing""]"
hkSkp,"[""endgame"",""fork"",""long"",""mateIn3""]"
hshpX,"[""endgame"",""advancedPawn"",""short"",""crushing"",""hangingPiece""]"
i4s6K,"[""endgame"",""master"",""crushing"",""long""]"
iAQlA,"[""mateIn2"",""middlegame"",""short"",""fork""]"
iJWD9,"[""long"",""mateIn3"",""opening""]"
iPOCI,"[""deflection"",""middlegame"",""advantage"",""fork"",""long"",""discoveredAttack""]"
iduAD,"[""master"",""short"",""endgame"",""mateIn2""]"
iieSj,"[""mateIn2"",""middlegame"",""short"",""sacrifice""]"
ikQo3,"[""deflection"",""endgame"",""crushing"",""rookEndgame"",""long""]"
iqdne,"[""mateIn1"",""oneMove"",""endgame""]"
jShAL,"[""endgame"",""discoveredCheck"",""advantage"",""long"",""sacrifice"",""discoveredAttack""]"
jdhiP,"[""endgame"",""short"",""crushing""]"
k7fwC,"[""endgame"",""master"",""masterVsMaster"",""crushing"",""fork"",""long""]"
kHk3B,"[""advantage"",""fork"",""long"",""master"",""middlegame""]"
km1cr,"[""endgame"",""crushing"",""quietMove"",""long"",""pin""]"
l3UfW,"[""endgame"",""master"",""short"",""advantage"",""discoveredAttack""]"
l8TiW,"[""short"",""endgame"",""mateIn2""]"
lGx4n,"[""mateIn2"",""middlegame"",""short"",""backRankMate"",""hangingPiece""]"
lRV0L,"[""long"",""advantage"",""defensiveMove"",""middlegame""]"
lYeat,"[""crushing"",""defensiveMove"",""short"",""middlegame""]"
lfEpu,"[""exposedKing"",""middlegame"",""crushing"",""fork"",""long""]"
lhdxe,"[""endgame"",""master"",""oneMove"",""mateIn1""]"
lk6CB,"[""middlegame"",""short"",""advantage"",""fork""]"
lk9Yr,"[""endgame"",""crushing"",""long"",""defensiveMove""]"
lkgPM,"[""crushing"",""short"",""endgame""]"
lnEty,"[""mateIn1"",""oneMove"",""middlegame""]"
mGopG,"[""endgame"",""long"",""mateIn3""]"
mM6zZ,"[""middlegame"",""advantage"",""short""]"
mQDd6,"[""endgame"",""short"",""crushing"",""rookEndgame"",""defensiveMove""]"
mQfM1,"[""deflection"",""endgame"",""short"",""crushing""]"
mgYLB,"[""opening"",""long"",""crushing""]"
mj70E,"[""mateIn1"",""oneMove"",""endgame""]"
mkrRI,"[""endgame"",""advancedPawn"",""short"",""advantage"",""knightEndgame""]"
mq2ze,"[""middlegame"",""short"",""advantage"",""trappedPiece"",""defensiveMove""]"
mrWO4,"[""middlegame"",""short"",""crushing"",""fork""]"
mvQsP,"[""deflection"",""middlegame"",""advantage"",""long"",""sacrifice"",""kingsideAttack""]"
mzHD9,"[""middlegame"",""advantage"",""short""]"
n521u,"[""deflection"",""endgame"",""short"",""crushing""]"
nLAqY,"[""hangingPiece"",""crushing"",""short"",""endgame""]"
nOsuD,"[""short"",""endgame"",""mateIn2""]"
nUCkJ,"[""endgame""]"
nVbnb,"[""deflection"",""endgame"",""short"",""advantage""]"
nXWWA,"[""mateIn2"",""middlegame"",""short"",""kingsideAttack""]"
ne45X,"[""long"",""defensiveMove"",""advantage"",""middlegame""]"
nzWpB,"[""mateIn2"",""middlegame"",""short"",""kingsideAttack""]"
o1p0v,"[""short"",""endgame"",""mateIn2""]"
oAxvy,"[""short"",""endgame"",""mateIn2""]"
oBBPv,"[""middlegame"",""short"",""crushing""]"
obvWK,"[""master"",""short"",""endgame"",""mateIn2""]"
pARQK,"[""advantage"",""hangingPiece"",""short"",""endgame""]"
pIfD3,"[""endgame"",""crushing"",""short""]"
pIqAF,"[""deflection"",""endgame"",""master"",""short"",""collinearMove"",""advantage""]"
pNTCu,"[""short"",""endgame"",""mateIn2""]"
piYCc,"[""short"",""endgame"",""mateIn2""]"
poFJM,"[""long"",""skewer"",""crushing"",""endgame""]"
pwDXf,"[""advantage"",""short"",""middlegame""]"
pwzFR,"[""endgame"",""advantage"",""long"",""pin"",""defensiveMove""]"
pxNQO,"[""deflection"",""short"",""crushing"",""opening"",""kingsideAttack""]"
pzNMn,"[""exposedKing"",""veryLong"",""middlegame"",""advantage"",""pin""]"
qIXYT,"[""short"",""endgame"",""mateIn2""]"
qrxqG,"[""middlegame"",""crushing"",""short""]"
r4yOC,"[""mateIn1"",""oneMove"",""opening""]"
rTXKA,"[""advantage"",""short"",""endgame""]"
s5UOx,"[""endgame"",""crushing"",""fork"",""long""]"
sDXUB,"[""deflection"",""mateIn2"",""middlegame"",""short"",""kingsideAttack""]"
sVZgP,"[""exposedKing"",""endgame"",""master"",""advantage"",""attraction"",""long""]"
sdlP2,"[""mateIn2"",""middlegame"",""short"",""queensideAttack"",""pin""]"
seuh9,"[""middlegame"",""short"",""crushing"",""fork""]"
sfu5N,"[""middlegame"",""short"",""advantage"",""fork""]"
shL0u,"[""middlegame"",""advantage"",""fork"",""long"",""pin""]"
skyvX,"[""middlegame"",""crushing"",""long"",""kingsideAttack"",""discoveredAttack""]"
t1OM9,"[""crushing"",""hangingPiece"",""short"",""middlegame""]"
t3v1Z,"[""endgame"",""long"",""mateIn3"",""sacrifice"",""backRankMate""]"
tJQdy,"[""endgame"",""advancedPawn"",""short"",""crushing"",""rookEndgame"",""promotion""]"
tnVjF,"[""endgame"",""long"",""crushing"",""pawnEndgame""]"
u0Ib5,"[""short"",""hangingPiece"",""advantage"",""endgame""]"
u1qBJ,"[""endgame"",""crushing"",""long"",""intermezzo""]"
u2wBn,"[""short"",""endgame"",""mateIn2""]"
u9SUo,"[""endgame"",""short"",""crushing"",""rookEndgame"",""quietMove""]"
uE9KB,"[""endgame"",""short"",""crushing"",""fork""]"
uGxKk,"[""mateIn2"",""middlegame"",""short"",""operaMate"",""attraction"",""sacrifice"",""kingsideAttack""]"
uNUbN,"[""middlegame"",""advantage"",""short"",""skewer""]"
uPUIG,"[""middlegame"",""crushing"",""short""]"
uPUwo,"[""oneMove"",""mateIn1"",""middlegame""]"
ueHYu,"[""advantage"",""long"",""middlegame""]"
uf5Ui,"[""short"",""pawnEndgame"",""crushing"",""endgame""]"
